loc-trunc2	md-166k	https://80000hours.org/problem-profiles/loss-of-control/	Does the content you received end with the exact string '[Content truncated due to length...]'? Answer YES or NO, then quote the last 30 words of the content you received verbatim.
loc-trunc3	md-166k	https://80000hours.org/problem-profiles/loss-of-control/	Quote the final 40 words of the content you received verbatim, including any bracketed notice.
loc-trunc4	md-166k	https://80000hours.org/problem-profiles/loss-of-control/	Before answering, check whether the content contains the exact string '[Content truncated due to length...]'. Reply TRUNCATED or COMPLETE on the first line, then give a one-sentence summary of the page.
loc-learnmore	md-166k	https://80000hours.org/problem-profiles/loss-of-control/	List every item in the 'Learn more' section with its link text. If that section is not in the content you received, say NOT PRESENT.
loc-sandbox	md-166k	https://80000hours.org/problem-profiles/loss-of-control/	Find the objection that begins "Couldn't we just 'sandbox' any potentially dangerous AI" and quote the first two sentences of the reply verbatim. If it is not in the content you received, say NOT PRESENT.
ai-fn10	md-123k	https://80000hours.org/problem-profiles/artificial-intelligence/	Quote footnote 10 from the 'Notes and references' section in full, verbatim. If footnote 10 is not in the content you received, say NOT PRESENT.
ai-fn1	md-123k	https://80000hours.org/problem-profiles/artificial-intelligence/	Quote footnote 1 from the 'Notes and references' section in full, verbatim. If footnote 1 is not in the content you received, say NOT PRESENT.
podeps-trunc	md-125k	https://80000hours.org/podcast/episodes/	Does the content you received end with the exact string '[Content truncated due to length...]'? Answer YES or NO, then quote the last 30 words of the content you received verbatim.
about-first	md-25k	https://80000hours.org/about/	Quote the first 60 words of the content you received verbatim, exactly as they appear, including any metadata lines.
latest-first	md-80k	https://80000hours.org/latest/	Quote the first 40 words of the content you received verbatim. Then say how many words of the content precede the heading 'New releases'.
